EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
etymkeel_tyyp	etymkeel_tyyp	orotši	orotši keel	et	language	oac
etymkeel_tyyp	etymkeel_tyyp	orotši	Oroch	en	language	oac
etymkeel_tyyp	etymkeel_tyyp	osseedi	osseedi keel	et	language	oss
etymkeel_tyyp	etymkeel_tyyp	osseedi	Ossetian	en	language	oss
etymkeel_tyyp	etymkeel_tyyp	poola	poola keel	et	language	pol
etymkeel_tyyp	etymkeel_tyyp	poola	Polish	en	language	pol
etymkeel_tyyp	etymkeel_tyyp	portugali	portugali keel	et	language	por
etymkeel_tyyp	etymkeel_tyyp	portugali	Portuguese	en	language	por
etymkeel_tyyp	etymkeel_tyyp	pouhatani	pouhatani keel	et	language	pim
etymkeel_tyyp	etymkeel_tyyp	pouhatani	Powhatan	en	language	pim
etymkeel_tyyp	etymkeel_tyyp	prantsuse	prantsuse keel	et	language	fra
etymkeel_tyyp	etymkeel_tyyp	prantsuse	French	en	language	fra
etymkeel_tyyp	etymkeel_tyyp	provansi	provansi	et	language	qau
etymkeel_tyyp	etymkeel_tyyp	preisi	preisi keel	et	language	prg
etymkeel_tyyp	etymkeel_tyyp	pärsia	pärsia	et	language	fas
etymkeel_tyyp	etymkeel_tyyp	pärsia	Persian	en	language	fas
etymkeel_tyyp	etymkeel_tyyp	rahvaladina	rahvaladina keel	et	language	qav
etymkeel_tyyp	etymkeel_tyyp	rahvaladina	Vulgar Latin	en	language	qav
etymkeel_tyyp	etymkeel_tyyp	romaani k-d	romaani keeled	et	language	qbm
etymkeel_tyyp	etymkeel_tyyp	retoromaani	retoromaani keel	et	language	roh
etymkeel_tyyp	etymkeel_tyyp	retoromaani	Rhaeto-Romance	en	language	roh
etymkeel_tyyp	etymkeel_tyyp	rootsi	rootsi keel	et	language	swe
etymkeel_tyyp	etymkeel_tyyp	rootsi	Swedish	en	language	swe
etymkeel_tyyp	etymkeel_tyyp	rumeenia	rumeenia keel	et	language	ron
etymkeel_tyyp	etymkeel_tyyp	rumeenia	Romanian	en	language	ron
etymkeel_tyyp	etymkeel_tyyp	saami	saami keel	et	language	qaw
etymkeel_tyyp	etymkeel_tyyp	saami	Sami	en	language	qaw
etymkeel_tyyp	etymkeel_tyyp	saami (Inari)	Inari saami keel	et	language	smn
etymkeel_tyyp	etymkeel_tyyp	saami (Kolta)	koltasaami keel	et	language	sms
etymkeel_tyyp	etymkeel_tyyp	saami (Lule)	Lule saami keel	et	language	smj
etymkeel_tyyp	etymkeel_tyyp	saami (lõuna)	lõunasaami keel	et	language	sma
etymkeel_tyyp	etymkeel_tyyp	saami (Pite)	Pite saami keel	et	language	sje
etymkeel_tyyp	etymkeel_tyyp	saami (Turja)	turjasaami keel	et	language	sjt
etymkeel_tyyp	etymkeel_tyyp	saksa	saksa keel	et	language	deu
etymkeel_tyyp	etymkeel_tyyp	saksa	German	en	language	deu
etymkeel_tyyp	etymkeel_tyyp	samoa	samoa keel	et	language	smo
etymkeel_tyyp	etymkeel_tyyp	samoa	Samoan	en	language	smo
etymkeel_tyyp	etymkeel_tyyp	sarikoli	sarikoli keel	et	language	srh
etymkeel_tyyp	etymkeel_tyyp	sarikoli	Sarikoli	et	language	srh
etymkeel_tyyp	etymkeel_tyyp	semi k-d	semi keeled	et	language	qbn
etymkeel_tyyp	etymkeel_tyyp	serbohorvaadi	serbohorvaadi keel	et	language	hbs
etymkeel_tyyp	etymkeel_tyyp	siuu	siuu	et	language	dak
etymkeel_tyyp	etymkeel_tyyp	siuu	Sioux	en	language	dak
etymkeel_tyyp	etymkeel_tyyp	slaavi k-d	slaavi keeled	et	language	qbo
etymkeel_tyyp	etymkeel_tyyp	sloveeni	sloveeni keel	et	language	slv
etymkeel_tyyp	etymkeel_tyyp	soome	soome keel	et	language	fin
etymkeel_tyyp	etymkeel_tyyp	soome	Finnish	en	language	fin
etymkeel_tyyp	etymkeel_tyyp	soome-ugri	soome-ugri	et	language	qac
etymkeel_tyyp	etymkeel_tyyp	soome-ugri	Finno-Ugric	en	language	qac
etymkeel_tyyp	etymkeel_tyyp	suahiili	suahiili keel	et	language	swa
etymkeel_tyyp	etymkeel_tyyp	suahiili	Swahili	en	language	swa
etymkeel_tyyp	etymkeel_tyyp	suulu	suulu keel	et	language	zul
etymkeel_tyyp	etymkeel_tyyp	suulu	Zulu	en	language	zul
etymkeel_tyyp	etymkeel_tyyp	sölkupi	sölkupi keel	et	language	sel
etymkeel_tyyp	etymkeel_tyyp	süüria	süüria keel	et	language	syr
etymkeel_tyyp	etymkeel_tyyp	süüria	Syrian	en	language	syr
