LEX nimi	LEX kood	LEX väärtus	LEX keel	LEX väärtuse liik
language	qaz	uuskreeka	est	wordweb
language	qba	uusladina	est	wordweb
language	vot	vadja	est	wordweb
language	bel	valgevene	est	wordweb
language	qbb	vanaegiptuse	est	wordweb
language	qbc	vanafriisi	est	wordweb
language	qbd	vanahispaania	est	wordweb
language	qbe	vanaindia	est	wordweb
language	ang	vanainglise	est	wordweb
language	qbf	vanasaksi	est	wordweb
language	fro	vanaprantsuse	est	wordweb
language	non	vanapõhja	est	wordweb
language	qbg	vanarootsi	est	wordweb
language	qbh	vanatürgi	est	wordweb
language	qbi	vanavene	est	wordweb
language	goh	vanaülemsaksa	est	wordweb
language	rus	vene	est	wordweb
language	vep	vepsa	est	wordweb
language	vie	vietnami	est	wordweb
language	est	eesti	est	wordweb
language	san	sanskriti	est	wordweb
language	pli	paali	est	wordweb
language	pan	pandžabi	est	wordweb
language	abk	abhaasi	est	descrip
language	afr	afrikaani	est	descrip
language	qab	alamsaksa	est	descrip
language	sqi	albaania	est	descrip
language	ara	araabia	est	descrip
language	arw	aravaki	est	descrip
language	aze	aserbaidžaani	est	descrip
language	qbk	Austraalia keeled	est	descrip
language	ave	avesta	est	descrip
language	bft	balti (tiibeti keelerühmas)	est	descrip
language	qad	baltisaksa murre	est	descrip
language	bam	bambara (Malis)	est	descrip
language	qbl	bantu keeled	est	descrip
language	ben	bengali	est	descrip
language	ber	berberi	est	descrip
language	xdk	dharuki	est	descrip
language	enh	eenetsi	est	descrip
language	qae	eestirootsi murre	est	descrip
language	qaf	eesti-vadja	est	descrip
language	egy	egiptuse	est	descrip
language	myv	ersa	est	descrip
language	gez	etioopia	est	descrip
language	eve	eveeni	est	descrip
language	evn	evengi	est	descrip
language	qag	frangi	est	descrip
language	gla	gaeli	est	descrip
language	gem	germaani	est	descrip
language	got	gooti	est	descrip
language	kat	gruusia	est	descrip
language	kal	grööni	est	descrip
language	kca	handi	est	descrip
language	haw	havai	est	descrip
language	heb	heebrea	est	descrip
language	zho	hiina	est	descrip
language	qah	hiliskreeka (2.-7. saj)	est	descrip
language	qai	hilisladina	est	descrip
language	hin	hindi	est	descrip
language	spa	hispaania	est	descrip
language	nld	hollandi	est	descrip
language	ine	indoeuroopa	est	descrip
language	ind	Indoneesia	est	descrip
language	eng	inglise	est	descrip
language	isl	islandi	est	descrip
language	izh	isuri	est	descrip
language	ita	itaalia	est	descrip
language	jpn	jaapani	est	descrip
language	yid	jidiši	est	descrip
language	xas	kamassi	est	descrip
language	car	kariibi	est	descrip
language	krl	karjala	est	descrip
language	kaz	kasahhi	est	descrip
language	cat	katalaani	est	descrip
language	dum	keskhollandi	est	descrip
language	qaj	keskindia	est	descrip
language	qaa	keskaja kreeka	est	descrip
