EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
vn_tyyp	muutevormi nimi	ImpPrSg2N	ÄRA = käskiva kv oleviku sg 2.p. eitus	et	morph	ImpPrSg2N
vn_tyyp	muutevormi nimi	ImpPrPl2N	ÄRGE = käskiva kv oleviku pl 2.p. eitus	et	morph	ImpPrPl2N
vn_tyyp	muutevormi nimi	ImpPrPl1N	ÄRGEM = käskiva kv oleviku pl 1.p. eitus	et	morph	ImpPrPl1N
vn_tyyp	muutevormi nimi	ImpPrN	ÄRGU = käskiva kv oleviku isikuline eitus	et	morph	ImpPrN
vn_tyyp	muutevormi nimi	ID	indekl	la	morph	ID
vn_tyyp	muutevormi nimi	SgN	nom	la	morph	SgN
vn_tyyp	muutevormi nimi	SgG	sg gen, gen	la	morph	SgG
vn_tyyp	muutevormi nimi	SgP	part	la	morph	SgP
vn_tyyp	muutevormi nimi	SgIll	illat	la	morph	SgIll
vn_tyyp	muutevormi nimi	SgIn	iness	la	morph	SgIn
vn_tyyp	muutevormi nimi	SgEl	adess	la	morph	SgEl
vn_tyyp	muutevormi nimi	PlN	pl nom	la	morph	PlN
vn_tyyp	muutevormi nimi	PlG	pl gen	la	morph	PlG
vn_tyyp	muutevormi nimi	PlP	pl part	la	morph	PlP
vn_tyyp	muutevormi nimi	PlIll	pl illat	la	morph	PlIll
vn_tyyp	muutevormi nimi	PlIn	pl iness	la	morph	PlIn
vn_tyyp	muutevormi nimi	PlEl	pl elat	la	morph	PlEl
vn_tyyp	muutevormi nimi	PlTer	pl term	la	morph	PlTer
vn_tyyp	muutevormi nimi	SgG	om	et	morph	SgG
vn_tyyp	muutevormi nimi	SgP	os	et	morph	SgP
vn_tyyp	muutevormi nimi	ID	--------	et	morph	ID
vn_tyyp	muutevormi nimi	??	------xx	et	morph	??
vn_tyyp	muutevormi nimi	SgN	------0N	et	morph	SgN
vn_tyyp	muutevormi nimi	SgG	------0G	et	morph	SgG
vn_tyyp	muutevormi nimi	SgP	------0P	et	morph	SgP
vn_tyyp	muutevormi nimi	SgAdt	------0D	et	morph	SgAdt
vn_tyyp	muutevormi nimi	SgIll	------01	et	morph	SgIll
vn_tyyp	muutevormi nimi	SgIn	------02	et	morph	SgIn
vn_tyyp	muutevormi nimi	SgEl	------03	et	morph	SgEl
vn_tyyp	muutevormi nimi	SgAll	------04	et	morph	SgAll
vn_tyyp	muutevormi nimi	SgAd	------05	et	morph	SgAd
vn_tyyp	muutevormi nimi	SgAbl	------06	et	morph	SgAbl
vn_tyyp	muutevormi nimi	SgTr	------0T	et	morph	SgTr
vn_tyyp	muutevormi nimi	SgTer	------0R	et	morph	SgTer
vn_tyyp	muutevormi nimi	SgEs	------0E	et	morph	SgEs
vn_tyyp	muutevormi nimi	SgAb	------0A	et	morph	SgAb
vn_tyyp	muutevormi nimi	SgKom	------0K	et	morph	SgKom
vn_tyyp	muutevormi nimi	PlN	------1N	et	morph	PlN
vn_tyyp	muutevormi nimi	PlG	------1G	et	morph	PlG
vn_tyyp	muutevormi nimi	PlP	------1P	et	morph	PlP
vn_tyyp	muutevormi nimi	PlIll	------11	et	morph	PlIll
vn_tyyp	muutevormi nimi	PlIn	------12	et	morph	PlIn
vn_tyyp	muutevormi nimi	PlEl	------13	et	morph	PlEl
vn_tyyp	muutevormi nimi	PlAll	------14	et	morph	PlAll
vn_tyyp	muutevormi nimi	PlAd	------15	et	morph	PlAd
vn_tyyp	muutevormi nimi	PlAbl	------16	et	morph	PlAbl
vn_tyyp	muutevormi nimi	PlTr	------1T	et	morph	PlTr
vn_tyyp	muutevormi nimi	PlTer	------1R	et	morph	PlTer
vn_tyyp	muutevormi nimi	PlEs	------1E	et	morph	PlEs
vn_tyyp	muutevormi nimi	PlAb	------1A	et	morph	PlAb
vn_tyyp	muutevormi nimi	PlKom	------1K	et	morph	PlKom
vn_tyyp	muutevormi nimi	Rpl	------1-	et	morph	Rpl
vn_tyyp	muutevormi nimi	Nlyhi	------RC	et	morph	Nlyhi
vn_tyyp	muutevormi nimi	Nvahe	------HC	et	morph	Nvahe
vn_tyyp	muutevormi nimi	Sup	30------	et	morph	Sup
vn_tyyp	muutevormi nimi	SupAb	30-----A	et	morph	SupAb
vn_tyyp	muutevormi nimi	SupIn	30-----2	et	morph	SupIn
vn_tyyp	muutevormi nimi	SupEl	30-----3	et	morph	SupEl
vn_tyyp	muutevormi nimi	SupTr	30-----T	et	morph	SupTr
vn_tyyp	muutevormi nimi	SupIps	31------	et	morph	SupIps
vn_tyyp	muutevormi nimi	Inf	1-------	et	morph	Inf
vn_tyyp	muutevormi nimi	Ger	2-------	et	morph	Ger
vn_tyyp	muutevormi nimi	PtsPrPs	400---0N	et	morph	PtsPrPs
vn_tyyp	muutevormi nimi	PtsPrIps	410---0N	et	morph	PtsPrIps
vn_tyyp	muutevormi nimi	PtsPtPs	401--0--	et	morph	PtsPtPs
vn_tyyp	muutevormi nimi	PtsPtIps	411--0--	et	morph	PtsPtIps
vn_tyyp	muutevormi nimi	IndPrSg1	-00011--	et	morph	IndPrSg1
vn_tyyp	muutevormi nimi	IndPrSg2	-00021--	et	morph	IndPrSg2
vn_tyyp	muutevormi nimi	IndPrSg3	-00031--	et	morph	IndPrSg3
vn_tyyp	muutevormi nimi	IndPrPl1	-00041--	et	morph	IndPrPl1
vn_tyyp	muutevormi nimi	IndPrPl2	-00051--	et	morph	IndPrPl2
vn_tyyp	muutevormi nimi	IndPrPl3	-00061--	et	morph	IndPrPl3
vn_tyyp	muutevormi nimi	IndPrPs_	-00000--	et	morph	IndPrPs_
vn_tyyp	muutevormi nimi	IndPrIps	-100-1--	et	morph	IndPrIps
vn_tyyp	muutevormi nimi	IndPrIps_	-100-0--	et	morph	IndPrIps_
vn_tyyp	muutevormi nimi	IndIpfSg1	-02011--	et	morph	IndIpfSg1
vn_tyyp	muutevormi nimi	IndIpfSg2	-02021--	et	morph	IndIpfSg2
vn_tyyp	muutevormi nimi	IndIpfSg3	-02031--	et	morph	IndIpfSg3
vn_tyyp	muutevormi nimi	IndIpfPl1	-02041--	et	morph	IndIpfPl1
vn_tyyp	muutevormi nimi	IndIpfPl2	-02051--	et	morph	IndIpfPl2
vn_tyyp	muutevormi nimi	IndIpfPl3	-02061--	et	morph	IndIpfPl3
vn_tyyp	muutevormi nimi	IndIpfIps	-120-1--	et	morph	IndIpfIps
vn_tyyp	muutevormi nimi	KndPrSg1	-00211--	et	morph	KndPrSg1
vn_tyyp	muutevormi nimi	KndPrSg2	-00221--	et	morph	KndPrSg2
vn_tyyp	muutevormi nimi	KndPrPs	-00200--	et	morph	KndPrPs
vn_tyyp	muutevormi nimi	KndPrPl1	-00241--	et	morph	KndPrPl1
