CE43	lenoch	CE4	European Atomic Energy Community; EURATOM; EAEC
CE44	lenoch	CE4	administration - organisation - working methods - procedures
CE45	lenoch	CE4	European civil service - staff
CE46	lenoch	CE4	EU financing - EU budget
CE47	lenoch	CE4	protocol - security
CE48	lenoch	CE4	public relations - press - spokesman - information
CE49	lenoch	CE4	European Ombudsman
CE4A	lenoch	CE4	EU internal affairs
CE4B	lenoch	CE4	infrastructure
CE4C	lenoch	CE4	language matters
CE4CL	lenoch	CE4C	eurolect
CE4CT	lenoch	CE4C	EU terminology
CE5	lenoch	CE	regulations - decisions - resolutions - reports - opinions
CE51	lenoch	CE5	regulation
CE52	lenoch	CE5	decision
CE53	lenoch	CE5	resolution
CE54	lenoch	CE5	reports
CE55	lenoch	CE5	expert opinions
CE6	lenoch	CE	missions - delegations & representations - external relations - Intergovernmental Conference
CE61	lenoch	CE6	missions
CE62	lenoch	CE6	delegations & representations
CE63	lenoch	CE6	external relations
CE63A	lenoch	CE63	relations with EFTA countries
CE63B	lenoch	CE63	multilateral relations
CE64	lenoch	CE6	Intergovernmental Conference; IGC
CE6X	lenoch	CE6	non-Community
CE7	lenoch	CE	Eurostat; Statistical Office of the European Communities; SOEC (sn: operational aspects; rf: Eurostat 'statistical themes', see: STE)
CE8	lenoch	CE	Office for Official Publications of the European Communities;
CE9	lenoch	CE	Council of Europe; CE
CEA	lenoch	CE	European Parliament; EP
CEA1	lenoch	CEA	Parliamentary Bodies of the European Parliament
CEA2	lenoch	CEA	General Secretariat of the European Parliament
CEA3	lenoch	CEA	Political Groups of the European Parliament
CEA4	lenoch	CEA	Delegations & mixed commissions of the European Parliament
CEA5	lenoch	CEA	Committees & Subcommittees of the European Parliament
CEB	lenoch	CE	Council of the European Union; Council of Ministers; CM
CEB1	lenoch	CEB	Representatives of the Gouvernments of the Member States
CEB2	lenoch	CEB	Permanent Representatives Committee
CEB3	lenoch	CEB	Permanent Representations
CEB4	lenoch	CEB	General Secretariat of the Council of the European Union
CEB5	lenoch	CEB	Association Councils
CEB6	lenoch	CEB	Cooperation Councils
CEB7	lenoch	CEB	ACP States - European Community Council of Ministers
CEB8	lenoch	CEB	Committee of Senior Officials on Scientific and Technical Research (COST)
CEB9	lenoch	CEB	Committees & Working Parties of the Council of the European Union
CEC	lenoch	CE	European Commission; EC
CEC1	lenoch	CEC	Commission; European Commission
CEC2	lenoch	CEC	High Authority of the ECSC; HA
CEC3	lenoch	CEC	Secretariat-General of the Commission; SG
CEC4	lenoch	CEC	Forward Studies
CEC5	lenoch	CEC	Inspectorate-General
CEC6	lenoch	CEC	Legal Service of the European Communities; LSEC)
CEC7	lenoch	CEC	Eurostat; Statistical Office of the European Communities; SOEC (sn: organisation and structure)
CEC8	lenoch	CEC	Office for Official Publications of the European Communities (sn: organisation and structure)
CEC9	lenoch	CEC	Spokesman's Service
CECA	lenoch	CEC	Euratom Supply Agency
CECB	lenoch	CEC	Offices of the European Commission in the European Union
CECC	lenoch	CEC	Joint Research Centre
CECD	lenoch	CEC	External Delegations, Representations and Offices of the European Commission
CECE	lenoch	CEC	Directorates-General & Directorates
CECF	lenoch	CEC	Translation Service
CECG	lenoch	CEC	Security Office
CECH	lenoch	CEC	European Community Humanitarian Office
CECI	lenoch	CEC	Joint Interpreting and Conference Service
CECO	lenoch	CEC	European Commission's Information Market Observatory
CECP	lenoch	CEC	Commission proposal
CED	lenoch	CE	Court of Justice of the European Communities; CJEC
CED1	lenoch	CED	Court of First Instance
CEE	lenoch	CE	European Court of Auditors; ECA
CEF	lenoch	CE	Economic and Social Committee of the European Communities; ESC
CEF1	lenoch	CEF	ESC Members
CEF2	lenoch	CEF	ESC - Groups
CEF3	lenoch	CEF	ESC Sections
